id,created_at,deleted,updated_at,juz_number,surah_order_number,verses_count,verses_order_number
112,2023-01-06 09:32:51.496000,false,2023-01-06 09:32:51.496000,30,91,15,1-15
113,2023-01-06 09:33:22.765000,false,2023-01-06 09:33:22.765000,30,92,21,1-21
114,2023-01-06 09:33:50.516000,false,2023-01-06 09:33:50.516000,30,93,11,1-11
115,2023-01-06 09:34:27.801000,false,2023-01-06 09:34:27.801000,30,94,8,1-8
116,2023-01-06 09:34:54.460000,false,2023-01-06 09:34:54.460000,30,95,8,1-8
117,2023-01-06 09:35:44.004000,false,2023-01-06 09:35:44.004000,30,96,19,1-19
118,2023-01-06 09:36:19.870000,false,2023-01-06 09:36:19.870000,30,97,5,1-5
119,2023-01-06 09:36:47.625000,false,2023-01-06 09:36:47.625000,30,98,8,1-8
120,2023-01-06 09:37:09.629000,false,2023-01-06 09:37:09.629000,30,99,8,1-8
121,2023-01-06 09:37:38.872000,false,2023-01-06 09:37:38.872000,30,100,11,1-11
122,2023-01-06 09:37:57.847000,false,2023-01-06 09:37:57.847000,30,101,11,1-11
123,2023-01-06 09:38:30.293000,false,2023-01-06 09:38:30.293000,30,102,8,1-8
124,2023-01-06 09:39:00.430000,false,2023-01-06 09:39:00.430000,30,103,3,1-3
125,2023-01-06 09:39:25.842000,false,2023-01-06 09:39:25.842000,30,104,9,1-9
126,2023-01-06 09:39:59.307000,false,2023-01-06 09:39:59.307000,30,105,5,1-5
127,2023-01-06 09:40:18.914000,false,2023-01-06 09:40:18.914000,30,106,4,1-4
128,2023-01-06 09:40:54.235000,false,2023-01-06 09:40:54.235000,30,107,7,1-7
129,2023-01-06 09:41:32.589000,false,2023-01-06 09:41:32.589000,30,108,3,1-3
130,2023-01-06 09:42:12.696000,false,2023-01-06 09:42:12.696000,30,109,6,1-6
131,2023-01-06 09:42:35.967000,false,2023-01-06 09:42:35.967000,30,110,3,1-3
132,2023-01-06 09:43:07.539000,false,2023-01-06 09:43:07.539000,30,111,5,1-5
133,2023-01-06 09:43:37.160000,false,2023-01-06 09:43:37.160000,30,112,4,1-4
134,2023-01-06 09:43:56.043000,false,2023-01-06 09:43:56.043000,30,113,5,1-5
135,2023-01-06 09:44:16.677000,false,2023-01-06 09:44:16.677000,30,114,6,1-6
